timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,velocity,pwm_effort,hz
0,1,5.0,0.0,5.026,-0.008,0.027,-80.45,160.71,0.0,127,1000
1,1,5.02,0.0,5.018,-0.014,0.014,-80.53,160.74,38.77,127,1000
2,1,5.04,0.0,4.988,0.009,0.053,-80.32,160.86,38.78,127,1000
3,1,5.06,0.0,5.013,-0.002,0.047,-80.4,160.76,38.78,127,1000
4,1,5.08,0.0,5.004,0.007,0.076,-80.32,160.79,38.79,127,1000
5,1,5.1,0.0,5.028,-0.005,0.072,-80.41,160.7,38.79,127,1000
6,1,5.12,0.0,5.028,0.008,0.092,-80.26,160.7,38.8,127,1000
7,1,5.14,0.0,5.035,0.004,0.105,-80.3,160.68,38.8,127,1000
8,1,5.16,0.0,5.03,0.001,0.13,-80.33,160.7,38.81,127,1000
9,1,5.18,0.0,5.064,0.007,0.117,-80.21,160.57,38.81,127,1000
10,1,5.2,0.0,5.064,0.009,0.136,-80.18,160.56,38.82,127,1000
11,1,5.22,0.0,5.084,0.004,0.136,-80.2,160.49,38.82,127,1000
12,1,5.24,0.0,5.071,0.02,0.171,-80.04,160.54,38.83,127,1000
13,1,5.26,0.0,5.113,0.012,0.147,-80.05,160.37,38.83,127,1000
14,1,5.28,0.0,5.113,0.007,0.168,-80.11,160.38,38.83,127,1000
15,1,5.3,0.0,5.147,0.011,0.154,-80.0,160.24,38.84,127,1000
16,1,5.32,0.0,5.144,0.007,0.176,-80.04,160.25,38.84,127,1000
17,1,5.34,0.0,5.175,0.011,0.166,-79.95,160.13,38.85,127,1000
18,1,5.36,0.0,5.2,0.019,0.161,-79.81,160.04,38.85,127,1000
19,1,5.38,0.0,5.182,0.018,0.2,-79.85,160.11,38.86,127,1000
20,1,5.4,0.0,5.173,0.025,0.228,-79.8,160.14,38.86,127,1000
21,1,5.42,0.0,5.225,0.031,0.197,-79.63,159.94,38.87,127,1000
22,1,5.44,0.0,5.241,0.015,0.2,-79.77,159.88,38.87,127,1000
23,1,5.46,0.0,5.276,0.021,0.185,-79.64,159.74,38.88,127,1000
24,1,5.48,0.0,5.322,0.014,0.159,-79.64,159.56,38.88,127,1000
25,1,5.5,0.0,5.334,0.025,0.168,-79.49,159.52,38.89,127,1000
26,1,5.52,0.0,5.338,0.024,0.185,-79.49,159.5,38.89,127,1000
27,1,5.54,0.0,5.342,0.012,0.199,-79.61,159.48,38.9,127,1000
28,1,5.56,0.0,5.389,0.015,0.172,-79.49,159.3,38.9,127,1000
29,1,5.581,0.0,5.404,0.018,0.177,-79.43,159.24,38.91,127,1000
30,1,5.601,0.0,5.43,0.016,0.171,-79.4,159.14,38.91,127,1000
31,1,5.621,0.0,5.456,0.018,0.165,-79.33,159.04,38.92,127,1000
32,1,5.641,0.0,5.458,0.012,0.183,-79.39,159.04,38.92,127,1000
33,1,5.661,0.0,5.485,0.02,0.176,-79.26,158.93,38.93,127,1000
34,1,5.681,0.0,5.51,0.007,0.171,-79.35,158.83,38.93,127,1000
35,1,5.701,0.0,5.531,0.018,0.17,-79.19,158.75,38.94,127,1000
36,1,5.721,0.0,5.524,0.017,0.197,-79.21,158.78,38.94,127,1000
37,1,5.741,0.0,5.551,0.016,0.19,-79.18,158.67,38.95,127,1000
38,1,5.761,0.0,5.604,0.01,0.157,-79.13,158.47,38.95,127,1000
39,1,5.781,0.0,5.591,0.028,0.191,-78.97,158.52,38.96,127,1000
40,1,5.801,0.0,5.612,0.027,0.191,-78.94,158.44,38.96,127,1000
41,1,5.821,0.0,5.627,0.026,0.196,-78.92,158.38,38.97,127,1000
42,1,5.841,0.0,5.658,0.02,0.184,-78.92,158.26,38.97,127,1000
43,1,5.861,0.0,5.682,0.027,0.181,-78.81,158.17,38.98,127,1000
44,1,5.881,0.0,5.7,0.017,0.182,-78.88,158.09,38.98,127,1000
45,1,5.901,0.0,5.722,0.01,0.179,-78.9,158.01,38.99,127,1000
46,1,5.921,0.0,5.729,0.025,0.194,-78.75,157.98,38.99,127,1000
47,1,5.941,0.0,5.736,0.018,0.206,-78.8,157.96,39.0,127,1000
48,1,5.961,0.0,5.773,0.017,0.189,-78.74,157.81,39.01,127,1000
49,1,5.981,0.0,5.811,0.027,0.172,-78.57,157.66,39.01,127,1000
50,1,6.001,0.0,5.826,0.011,0.175,-78.69,157.6,39.02,127,1000
51,1,6.021,0.0,5.842,0.024,0.18,-78.53,157.54,39.02,127,1000
52,1,6.041,0.0,5.878,0.003,0.163,-78.67,157.4,39.03,127,1000
53,1,6.061,0.0,5.866,0.026,0.197,-78.47,157.45,39.03,127,1000
54,1,6.081,0.0,5.893,0.023,0.189,-78.45,157.34,39.04,127,1000
55,1,6.101,0.0,5.933,0.021,0.169,-78.39,157.19,39.04,127,1000
56,1,6.121,0.0,5.946,0.027,0.177,-78.3,157.14,39.05,127,1000
57,1,6.141,0.0,5.946,0.025,0.196,-78.32,157.14,39.05,127,1000
58,1,6.161,0.0,5.965,0.02,0.197,-78.33,157.06,39.06,127,1000
59,1,6.181,0.0,6.038,0.018,0.144,-78.22,156.78,39.07,127,1000
60,1,6.201,0.0,6.038,0.01,0.164,-78.3,156.78,39.07,127,1000
61,1,6.221,0.0,6.052,0.024,0.171,-78.14,156.72,39.08,127,1000
