timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg
0,15.0,0.0,15.0,15.004,-0.026,15.001,0.0261,-0.1,-19.37,106.11
1,15.0,0.0,15.0,15.009,0.008,14.996,0.0129,0.03,-19.39,106.1
2,15.0,0.0,15.0,14.963,0.008,15.008,0.0385,0.03,-19.35,106.25
3,15.0,0.0,15.0,14.982,0.003,14.993,0.0194,0.01,-19.41,106.22
4,15.0,0.0,15.0,14.991,-0.024,15.003,0.0257,-0.09,-19.37,106.15
5,15.0,0.001,15.0,15.037,-0.017,14.973,0.0484,-0.06,-19.47,106.05
6,15.0,0.001,15.0,15.002,-0.001,14.995,0.0051,-0.0,-19.39,106.13
7,15.0,0.001,14.999,15.019,-0.003,14.993,0.02,-0.01,-19.4,106.07
8,15.0,0.001,14.999,14.996,-0.003,15.006,0.0089,-0.01,-19.35,106.13
9,15.0,0.002,14.999,14.993,0.004,15.012,0.0152,0.02,-19.33,106.12
10,15.0,0.002,14.999,14.978,0.021,15.021,0.0369,0.08,-19.29,106.16
11,15.0,0.003,14.999,14.987,-0.016,14.995,0.0236,-0.06,-19.4,106.2
12,15.0,0.003,14.998,15.003,0.019,14.995,0.0164,0.07,-19.39,106.13
13,15.0,0.004,14.998,14.961,0.003,15.019,0.0442,0.01,-19.3,106.23
14,15.0,0.004,14.998,14.994,0.006,15.005,0.0094,0.02,-19.36,106.14
15,15.0,0.005,14.997,14.998,0.023,15.013,0.0239,0.09,-19.32,106.1
16,15.0,0.006,14.997,14.989,0.025,14.99,0.0235,0.1,-19.42,106.2
17,15.0,0.006,14.997,14.988,0.004,15.015,0.022,0.01,-19.32,106.13
18,15.0,0.007,14.996,15.008,0.011,14.999,0.0092,0.04,-19.38,106.1
19,15.0,0.008,14.996,14.958,-0.01,15.046,0.068,-0.04,-19.2,106.17
20,15.0,0.009,14.996,15.001,-0.009,15.017,0.0279,-0.03,-19.31,106.08
21,15.0,0.01,14.995,15.021,-0.009,14.99,0.0288,-0.04,-19.41,106.07
22,15.0,0.011,14.995,15.008,0.011,14.976,0.0204,0.04,-19.47,106.16
23,15.0,0.012,14.994,15.008,0.03,14.984,0.0224,0.12,-19.44,106.14
24,15.0,0.013,14.994,14.994,0.043,14.997,0.0312,0.17,-19.39,106.16
25,15.0,0.014,14.993,15.009,0.007,14.987,0.013,0.03,-19.42,106.13
26,15.0,0.015,14.992,14.996,0.038,14.989,0.0236,0.15,-19.42,106.17
27,15.0,0.016,14.992,15.013,0.026,14.969,0.0281,0.1,-19.49,106.16
28,15.0,0.018,14.991,15.009,0.009,14.997,0.0135,0.03,-19.38,106.1
29,15.0,0.019,14.991,15.003,0.035,14.972,0.025,0.13,-19.48,106.19
30,15.0,0.02,14.99,15.035,0.001,14.952,0.0552,0.0,-19.56,106.12
31,15.0,0.022,14.989,15.03,0.036,14.97,0.0381,0.14,-19.49,106.09
32,15.0,0.023,14.989,15.015,0.008,14.984,0.0216,0.03,-19.43,106.11
33,15.0,0.024,14.988,15.0,0.04,14.979,0.018,0.15,-19.46,106.18
34,15.0,0.026,14.987,15.01,0.009,14.973,0.0236,0.04,-19.48,106.16
35,15.0,0.027,14.986,15.026,0.003,14.964,0.0424,0.01,-19.51,106.12
36,15.0,0.029,14.986,15.035,0.053,14.971,0.0446,0.2,-19.48,106.07
37,15.0,0.031,14.985,15.022,0.015,14.987,0.0273,0.06,-19.42,106.07
38,15.0,0.032,14.984,15.042,0.015,14.966,0.0492,0.06,-19.5,106.05
39,15.0,0.034,14.983,15.027,0.023,14.983,0.0292,0.09,-19.44,106.06
