timestamp_ms,command_id,target_x,target_y,real_x,real_y,error,motor1_pos,motor2_pos,motor1_vel,motor2_vel,velocity,pwm_effort,hz
0,1,25.0,8.0,25.003,7.986,0.014,-11.25,57.93,-0.08,0.19,20.0,127,1000
1,1,25.0,8.0,25.019,7.96,0.044,-11.29,57.87,-0.15,0.38,20.0,127,1000
2,1,25.0,8.0,25.012,7.966,0.036,-11.29,57.91,-0.31,0.75,20.0,127,1000
3,1,25.0,8.0,25.005,8.0,0.005,-11.2,57.88,-0.46,1.13,20.0,127,1000
4,1,25.0,8.0,25.017,7.978,0.028,-11.23,57.84,-0.62,1.51,20.0,127,1000
5,1,24.999,8.0,25.02,7.965,0.041,-11.27,57.85,-0.77,1.88,20.0,127,1000
6,1,24.999,8.0,24.993,8.006,0.009,-11.22,57.96,-0.93,2.26,20.0,127,1000
7,1,24.999,8.0,24.995,8.001,0.004,-11.23,57.96,-1.08,2.63,20.0,127,1000
8,1,24.998,8.0,25.016,7.955,0.048,-11.31,57.91,-1.24,3.01,20.0,127,1000
9,1,24.998,8.0,25.001,7.956,0.044,-11.36,58.02,-1.39,3.39,20.0,127,1000
10,1,24.997,8.0,25.01,7.981,0.023,-11.25,57.89,-1.55,3.76,20.0,127,1000
11,1,24.997,8.0,25.02,7.952,0.053,-11.31,57.88,-1.7,4.14,20.0,127,1000
12,1,24.996,8.0,25.003,7.971,0.029,-11.3,57.97,-1.86,4.51,20.0,127,1000
13,1,24.996,8.0,25.037,7.913,0.096,-11.39,57.85,-2.01,4.89,20.0,127,1000
14,1,24.995,8.0,25.015,7.947,0.056,-11.34,57.93,-2.17,5.26,20.0,127,1000
15,1,24.994,8.0,25.002,7.982,0.019,-11.27,57.95,-2.32,5.64,20.0,127,1000
16,1,24.994,8.0,24.979,8.012,0.019,-11.24,58.05,-2.47,6.02,20.0,127,1000
17,1,24.993,8.0,24.991,7.986,0.014,-11.29,58.02,-2.63,6.39,20.0,127,1000
18,1,24.992,8.0,24.994,7.981,0.019,-11.3,58.01,-2.78,6.77,20.0,127,1000
19,1,24.991,8.0,24.981,8.005,0.012,-11.26,58.05,-2.94,7.14,20.0,127,1000
20,1,24.99,8.0,24.996,7.986,0.015,-11.27,57.98,-3.09,7.52,20.0,127,1000
21,1,24.989,8.0,24.998,7.983,0.019,-11.28,57.97,-3.25,7.89,20.0,127,1000
22,1,24.988,8.0,24.973,8.004,0.015,-11.28,58.11,-3.4,8.27,20.0,127,1000
23,1,24.987,8.0,24.999,7.994,0.013,-11.24,57.94,-3.55,8.64,20.0,127,1000
24,1,24.986,8.0,24.99,8.001,0.005,-11.24,57.99,-3.71,9.01,20.0,127,1000
