timestamp_ms,target_pos,actual_pos,error,velocity_cmd,hz
0,0.0,0.139,-0.139,180,500
2,0.0,0.022,-0.022,180,500
4,0.0,0.025,-0.025,180,500
6,0.0,0.07,-0.07,180,500
8,0.0,-0.021,0.021,180,500
10,0.0,-0.055,0.055,180,500
12,0.0,-0.008,0.008,180,500
14,0.0,-0.059,0.059,180,500
16,0.0,-0.123,0.123,180,500
18,0.0,0.02,-0.02,180,500
20,0.0,-0.026,0.026,180,500
22,0.0,-0.006,0.006,180,500
24,0.0,0.054,-0.054,180,500
26,0.0,0.005,-0.005,180,500
28,0.0,-0.048,0.048,180,500
30,0.0,0.005,-0.005,180,500
32,0.0,-0.023,0.023,180,500
34,0.0,-0.09,0.09,180,500
36,0.0,-0.062,0.062,180,500
38,0.0,0.072,-0.072,180,500
40,0.0,0.012,-0.012,180,500
42,0.0,0.04,-0.04,180,500
44,0.0,-0.109,0.109,180,500
46,0.0,0.005,-0.005,180,500
48,0.0,-0.022,0.022,180,500
50,0.0,0.023,-0.023,180,500
52,0.0,-0.047,0.047,180,500
54,0.0,-0.023,0.023,180,500
56,0.0,-0.004,0.004,180,500
58,0.0,0.072,-0.072,180,500
60,0.0,0.04,-0.04,180,500
62,0.0,0.114,-0.114,180,500
64,0.0,-0.054,0.054,180,500
66,0.0,-0.036,0.036,180,500
68,0.0,0.054,-0.054,180,500
70,0.0,-0.056,0.056,180,500
72,0.0,0.051,-0.051,180,500
74,0.0,-0.115,0.115,180,500
76,0.0,0.04,-0.04,180,500
78,0.0,-0.059,0.059,180,500
80,0.0,-0.009,0.009,180,500
82,0.0,-0.008,0.008,180,500
84,0.0,0.026,-0.026,180,500
86,0.0,-0.01,0.01,180,500
88,0.0,-0.032,0.032,180,500
90,0.0,-0.081,0.081,180,500
92,0.0,0.005,-0.005,180,500
94,0.0,-0.004,0.004,180,500
96,0.0,-0.013,0.013,180,500
98,0.0,-0.013,0.013,180,500
100,0.0,0.086,-0.086,180,500
102,0.0,-0.05,0.05,180,500
104,0.0,-0.062,0.062,180,500
106,0.0,-0.085,0.085,180,500
108,0.0,-0.025,0.025,180,500
110,0.0,0.06,-0.06,180,500
112,0.0,0.009,-0.009,180,500
114,0.0,-0.05,0.05,180,500
116,0.0,0.039,-0.039,180,500
118,0.0,-0.033,0.033,180,500
120,0.0,0.016,-0.016,180,500
122,0.0,-0.008,0.008,180,500
124,0.0,0.082,-0.082,180,500
126,0.0,0.007,-0.007,180,500
128,0.0,0.101,-0.101,180,500
130,0.0,-0.013,0.013,180,500
132,0.0,-0.02,0.02,180,500
134,0.0,-0.042,0.042,180,500
136,0.0,-0.065,0.065,180,500
138,0.0,-0.04,0.04,180,500
140,0.0,-0.001,0.001,180,500
142,0.0,-0.032,0.032,180,500
144,0.0,-0.027,0.027,180,500
146,0.0,-0.073,0.073,180,500
148,0.0,-0.066,0.066,180,500
150,0.0,0.014,-0.014,180,500
152,0.0,0.092,-0.092,180,500
154,0.0,0.042,-0.042,180,500
156,0.0,-0.03,0.03,180,500
158,0.0,0.006,-0.006,180,500
160,0.0,-0.05,0.05,180,500
162,0.0,-0.032,0.032,180,500
164,0.0,0.059,-0.059,180,500
166,0.0,-0.042,0.042,180,500
168,0.0,-0.032,0.032,180,500
170,0.0,-0.012,0.012,180,500
172,0.0,-0.059,0.059,180,500
174,0.0,-0.017,0.017,180,500
176,0.0,0.08,-0.08,180,500
178,0.0,-0.014,0.014,180,500
180,0.0,0.019,-0.019,180,500
182,0.0,-0.011,0.011,180,500
184,0.0,0.035,-0.035,180,500
186,0.0,0.028,-0.028,180,500
188,0.0,0.014,-0.014,180,500
190,0.0,-0.011,0.011,180,500
192,0.0,-0.03,0.03,180,500
194,0.0,-0.018,0.018,180,500
196,0.0,0.083,-0.083,180,500
198,0.0,-0.032,0.032,180,500
200,0.0,-0.111,0.111,180,500
202,0.0,-0.002,0.002,180,500
204,0.0,0.032,-0.032,180,500
206,0.0,-0.113,0.113,180,500
208,0.0,0.0,-0.0,180,500
210,0.0,0.035,-0.035,180,500
212,0.0,-0.008,0.008,180,500
214,0.0,0.001,-0.001,180,500
216,0.0,0.067,-0.067,180,500
218,0.0,0.086,-0.086,180,500
220,0.0,0.017,-0.017,180,500
222,0.0,-0.04,0.04,180,500
224,0.0,-0.122,0.122,180,500
226,0.0,-0.044,0.044,180,500
228,0.0,-0.075,0.075,180,500
230,0.0,-0.022,0.022,180,500
232,0.0,-0.035,0.035,180,500
234,0.0,-0.038,0.038,180,500
236,0.0,-0.012,0.012,180,500
238,0.0,-0.074,0.074,180,500
240,0.0,0.021,-0.021,180,500
242,0.0,-0.0,0.0,180,500
244,0.0,0.039,-0.039,180,500
246,0.0,-0.045,0.045,180,500
248,0.0,0.031,-0.031,180,500
250,0.0,-0.052,0.052,180,500
252,0.0,0.02,-0.02,180,500
254,0.0,0.01,-0.01,180,500
256,0.0,0.077,-0.077,180,500
258,0.0,0.057,-0.057,180,500
260,0.0,0.08,-0.08,180,500
262,0.0,-0.026,0.026,180,500
264,0.0,-0.018,0.018,180,500
266,0.0,0.01,-0.01,180,500
268,0.0,-0.042,0.042,180,500
270,0.0,0.029,-0.029,180,500
272,0.0,-0.015,0.015,180,500
274,0.0,0.051,-0.051,180,500
276,0.0,0.007,-0.007,180,500
278,0.0,-0.066,0.066,180,500
280,0.0,0.054,-0.054,180,500
282,0.0,0.061,-0.061,180,500
284,0.0,0.014,-0.014,180,500
286,0.0,-0.003,0.003,180,500
288,0.0,-0.111,0.111,180,500
290,0.0,0.049,-0.049,180,500
292,0.0,-0.04,0.04,180,500
294,0.0,0.09,-0.09,180,500
296,0.0,0.011,-0.011,180,500
298,0.0,-0.146,0.146,180,500
300,0.0,0.074,-0.074,180,500
302,0.0,-0.005,0.005,180,500
304,0.0,0.054,-0.054,180,500
306,0.0,-0.08,0.08,180,500
308,0.0,0.068,-0.068,180,500
310,0.0,-0.078,0.078,180,500
312,0.0,-0.016,0.016,180,500
314,0.0,-0.003,0.003,180,500
316,0.0,0.005,-0.005,180,500
318,0.0,-0.036,0.036,180,500
320,0.0,-0.003,0.003,180,500
322,0.0,0.013,-0.013,180,500
324,0.0,-0.121,0.121,180,500
326,0.0,-0.048,0.048,180,500
328,0.0,0.026,-0.026,180,500
330,0.0,0.028,-0.028,180,500
332,0.0,0.026,-0.026,180,500
334,0.0,-0.033,0.033,180,500
336,0.0,-0.084,0.084,180,500
338,0.0,-0.104,0.104,180,500
340,0.0,0.055,-0.055,180,500
342,0.0,0.041,-0.041,180,500
344,0.0,-0.002,0.002,180,500
346,0.0,0.049,-0.049,180,500
348,0.0,0.011,-0.011,180,500
350,0.0,0.023,-0.023,180,500
352,0.0,-0.038,0.038,180,500
354,0.0,-0.114,0.114,180,500
356,0.0,-0.039,0.039,180,500
358,0.0,-0.019,0.019,180,500
360,0.0,0.013,-0.013,180,500
362,0.0,-0.058,0.058,180,500
364,0.0,-0.085,0.085,180,500
366,0.0,-0.03,0.03,180,500
368,0.0,-0.023,0.023,180,500
370,0.0,0.1,-0.1,180,500
372,0.0,-0.039,0.039,180,500
374,0.0,0.012,-0.012,180,500
376,0.0,0.074,-0.074,180,500
378,0.0,0.053,-0.053,180,500
380,0.0,-0.097,0.097,180,500
382,0.0,-0.063,0.063,180,500
384,0.0,0.123,-0.123,180,500
386,0.0,-0.033,0.033,180,500
388,0.0,-0.145,0.145,180,500
390,0.0,-0.011,0.011,180,500
392,0.0,0.025,-0.025,180,500
394,0.0,0.01,-0.01,180,500
396,0.0,0.003,-0.003,180,500
398,0.0,-0.021,0.021,180,500
400,0.0,0.01,-0.01,180,500
402,0.0,0.026,-0.026,180,500
404,0.0,-0.018,0.018,180,500
406,0.0,0.038,-0.038,180,500
408,0.0,-0.012,0.012,180,500
410,0.0,0.071,-0.071,180,500
412,0.0,0.061,-0.061,180,500
414,0.0,0.022,-0.022,180,500
416,0.0,-0.039,0.039,180,500
418,0.0,0.045,-0.045,180,500
420,0.0,0.032,-0.032,180,500
422,0.0,-0.047,0.047,180,500
424,0.0,0.094,-0.094,180,500
426,0.0,-0.01,0.01,180,500
428,0.0,-0.066,0.066,180,500
430,0.0,-0.057,0.057,180,500
432,0.0,0.015,-0.015,180,500
434,0.0,-0.049,0.049,180,500
436,0.0,-0.035,0.035,180,500
438,0.0,0.027,-0.027,180,500
440,0.0,0.013,-0.013,180,500
442,0.0,0.023,-0.023,180,500
444,0.0,-0.009,0.009,180,500
446,0.0,-0.009,0.009,180,500
448,0.0,0.002,-0.002,180,500
450,0.0,-0.107,0.107,180,500
452,0.0,0.066,-0.066,180,500
454,0.0,-0.067,0.067,180,500
456,0.0,0.047,-0.047,180,500
458,0.0,-0.028,0.028,180,500
460,0.0,0.009,-0.009,180,500
462,0.0,0.01,-0.01,180,500
464,0.0,0.045,-0.045,180,500
466,0.0,-0.012,0.012,180,500
468,0.0,-0.008,0.008,180,500
470,0.0,-0.046,0.046,180,500
472,0.0,-0.064,0.064,180,500
474,0.0,0.012,-0.012,180,500
476,0.0,-0.067,0.067,180,500
478,0.0,0.055,-0.055,180,500
480,0.0,0.012,-0.012,180,500
482,0.0,0.071,-0.071,180,500
484,0.0,0.024,-0.024,180,500
486,0.0,0.012,-0.012,180,500
488,0.0,-0.055,0.055,180,500
490,0.0,-0.002,0.002,180,500
492,0.0,0.037,-0.037,180,500
494,0.0,0.05,-0.05,180,500
496,0.0,0.009,-0.009,180,500
498,0.0,-0.023,0.023,180,500
500,0.0,0.016,-0.016,180,500
502,0.0,-0.039,0.039,180,500
504,0.0,-0.046,0.046,180,500
506,0.0,-0.102,0.102,180,500
508,0.0,-0.091,0.091,180,500
