timestamp_ms,target_pos,actual_pos,error,velocity_cmd,torque_load,torque_total_req,hz
0,0.0,-0.006,0.006,45,0.0,0.0,1000
1,0.003,-0.058,0.061,45,0.1,4.82,1000
2,0.012,0.001,0.011,45,0.2,4.96,1000
3,0.027,-0.023,0.05,45,0.3,5.09,1000
4,0.048,-0.126,0.174,45,0.4,5.22,1000
5,0.075,-0.071,0.146,45,0.5,5.35,1000
6,0.108,0.036,0.072,45,0.6,5.48,1000
7,0.147,0.094,0.053,45,0.7,5.61,1000
8,0.191,0.047,0.144,45,0.8,5.75,1000
9,0.236,0.007,0.229,45,0.9,5.88,1000
10,0.281,0.033,0.249,45,1.0,6.01,1000
11,0.326,0.053,0.273,45,1.1,6.14,1000
12,0.371,-0.088,0.459,45,1.2,6.27,1000
13,0.416,-0.056,0.473,45,1.3,6.4,1000
14,0.461,0.067,0.395,45,1.4,6.54,1000
15,0.506,0.01,0.496,45,1.5,6.67,1000
16,0.551,0.128,0.423,45,1.6,6.8,1000
17,0.596,0.04,0.556,45,1.7,6.93,1000
18,0.641,0.146,0.495,45,1.8,7.06,1000
19,0.686,0.014,0.672,45,1.9,7.19,1000
20,0.731,0.129,0.602,45,2.0,7.33,1000
21,0.776,0.092,0.685,45,2.1,7.46,1000
22,0.821,0.099,0.723,45,2.2,7.59,1000
23,0.866,0.043,0.824,45,2.3,7.72,1000
24,0.911,0.072,0.84,45,2.4,7.85,1000
25,0.956,0.154,0.803,45,2.5,7.98,1000
26,1.001,0.034,0.968,45,2.6,8.12,1000
27,1.046,0.044,1.002,45,2.7,8.25,1000
28,1.091,0.05,1.041,45,2.8,8.38,1000
29,1.136,0.086,1.05,45,2.9,8.51,1000
30,1.181,0.063,1.118,45,3.0,8.64,1000
31,1.226,0.171,1.056,45,3.1,8.77,1000
32,1.271,0.126,1.146,45,3.2,8.91,1000
33,1.316,0.175,1.142,45,3.3,9.04,1000
34,1.361,0.117,1.244,45,3.4,9.17,1000
35,1.406,0.233,1.173,45,3.5,9.3,1000
36,1.451,0.196,1.255,45,3.6,9.43,1000
37,1.496,0.324,1.172,45,3.7,9.56,1000
38,1.541,0.239,1.302,45,3.8,9.69,1000
39,1.586,0.244,1.342,45,3.9,9.83,1000
40,1.631,0.21,1.421,45,4.0,9.96,1000
41,1.676,0.284,1.393,45,4.1,10.09,1000
42,1.721,0.317,1.404,45,4.2,10.22,1000
43,1.766,0.205,1.561,45,4.29,10.35,1000
44,1.811,0.16,1.651,45,4.39,10.48,1000
45,1.856,0.416,1.44,45,4.49,10.61,1000
46,1.901,0.383,1.518,45,4.59,10.75,1000
47,1.946,0.394,1.552,45,4.69,10.88,1000
48,1.991,0.395,1.596,45,4.79,11.01,1000
49,2.036,0.393,1.643,45,4.89,11.14,1000
50,2.081,0.405,1.676,45,4.99,11.27,1000
51,2.126,0.293,1.833,45,5.09,11.4,1000
52,2.171,0.464,1.708,45,5.19,11.53,1000
53,2.216,0.434,1.782,45,5.29,11.66,1000
54,2.261,0.523,1.738,45,5.39,11.79,1000
55,2.306,0.493,1.813,45,5.49,11.93,1000
56,2.351,0.524,1.827,45,5.59,12.06,1000
57,2.396,0.555,1.841,45,5.69,12.19,1000
58,2.441,0.549,1.892,45,5.79,12.32,1000
59,2.486,0.458,2.028,45,5.89,12.45,1000
60,2.531,0.509,2.022,45,5.99,12.58,1000
61,2.576,0.447,2.129,45,6.08,12.71,1000
62,2.621,0.642,1.979,45,6.18,12.84,1000
63,2.666,0.623,2.043,45,6.28,12.97,1000
64,2.711,0.578,2.133,45,6.38,13.1,1000
65,2.756,0.675,2.081,45,6.48,13.23,1000
66,2.801,0.642,2.16,45,6.58,13.37,1000
67,2.846,0.64,2.206,45,6.68,13.5,1000
68,2.891,0.691,2.2,45,6.78,13.63,1000
69,2.936,0.832,2.104,45,6.88,13.76,1000
70,2.981,0.776,2.205,45,6.98,13.89,1000
71,3.026,0.748,2.278,45,7.08,14.02,1000
72,3.071,0.798,2.273,45,7.18,14.15,1000
73,3.116,0.801,2.315,45,7.27,14.28,1000
74,3.161,0.833,2.329,45,7.37,14.41,1000
75,3.206,0.866,2.341,45,7.47,14.54,1000
76,3.251,0.948,2.303,45,7.57,14.67,1000
77,3.296,0.864,2.432,45,7.67,14.8,1000
78,3.341,0.864,2.477,45,7.77,14.93,1000
79,3.386,1.011,2.375,45,7.87,15.06,1000
80,3.431,0.949,2.482,45,7.97,15.19,1000
81,3.476,1.031,2.446,45,8.06,15.32,1000
82,3.521,1.019,2.502,45,8.16,15.45,1000
83,3.566,1.019,2.548,45,8.26,15.58,1000
84,3.611,1.135,2.476,45,8.36,15.71,1000
85,3.656,1.013,2.643,45,8.46,15.84,1000
86,3.701,1.145,2.556,45,8.56,15.97,1000
87,3.746,1.149,2.597,45,8.66,16.1,1000
88,3.791,1.201,2.59,45,8.75,16.23,1000
89,3.836,1.129,2.707,45,8.85,16.36,1000
90,3.881,1.241,2.64,45,8.95,16.49,1000
91,3.926,1.224,2.702,45,9.05,16.62,1000
92,3.971,1.344,2.627,45,9.15,16.75,1000
93,4.016,1.29,2.726,45,9.25,16.88,1000
94,4.061,1.389,2.672,45,9.34,17.01,1000
95,4.106,1.351,2.756,45,9.44,17.14,1000
96,4.151,1.479,2.672,45,9.54,17.27,1000
97,4.196,1.433,2.764,45,9.64,17.4,1000
98,4.241,1.53,2.711,45,9.74,17.53,1000
99,4.286,1.491,2.795,45,9.84,17.66,1000
100,4.331,1.471,2.86,45,9.93,17.79,1000
101,4.376,1.504,2.873,45,10.03,17.92,1000
102,4.421,1.688,2.733,45,10.13,18.05,1000
103,4.466,1.632,2.834,45,10.23,18.18,1000
104,4.511,1.632,2.88,45,10.33,18.31,1000
105,4.556,1.596,2.96,45,10.42,18.44,1000
106,4.601,1.708,2.893,45,10.52,18.57,1000
107,4.646,1.787,2.86,45,10.62,18.69,1000
108,4.691,1.774,2.917,45,10.72,18.82,1000
109,4.736,1.812,2.924,45,10.81,18.95,1000
110,4.781,1.841,2.94,45,10.91,19.08,1000
111,4.826,1.806,3.02,45,11.01,19.21,1000
112,4.871,1.969,2.903,45,11.11,19.34,1000
113,4.916,2.055,2.861,45,11.2,19.47,1000
114,4.961,1.907,3.054,45,11.3,19.6,1000
115,5.006,1.971,3.036,45,11.4,19.73,1000
116,5.051,2.075,2.976,45,11.5,19.85,1000
117,5.096,2.055,3.041,45,11.59,19.98,1000
118,5.141,2.195,2.946,45,11.69,20.11,1000
119,5.186,2.051,3.135,45,11.79,20.24,1000
120,5.231,2.211,3.02,45,11.89,20.37,1000
121,5.276,2.266,3.01,45,11.98,20.5,1000
122,5.321,2.258,3.064,45,12.08,20.63,1000
123,5.366,2.341,3.026,45,12.18,20.75,1000
124,5.411,2.215,3.197,45,12.27,20.88,1000
125,5.456,2.297,3.159,45,12.37,21.01,1000
126,5.501,2.369,3.132,45,12.47,21.14,1000
127,5.546,2.46,3.086,45,12.56,21.27,1000
128,5.591,2.583,3.008,45,12.66,21.39,1000
129,5.636,2.543,3.094,45,12.76,21.52,1000
130,5.681,2.535,3.146,45,12.85,21.65,1000
131,5.726,2.503,3.224,45,12.95,21.78,1000
132,5.771,2.634,3.137,45,13.05,21.9,1000
133,5.816,2.828,2.989,45,13.14,22.03,1000
134,5.861,2.736,3.125,45,13.24,22.16,1000
135,5.906,2.735,3.171,45,13.34,22.29,1000
136,5.951,2.806,3.145,45,13.43,22.42,1000
137,5.996,2.901,3.095,45,13.53,22.54,1000
138,6.041,2.919,3.123,45,13.63,22.67,1000
139,6.086,2.917,3.169,45,13.72,22.8,1000
140,6.131,2.923,3.208,45,13.82,22.92,1000
141,6.176,2.999,3.177,45,13.91,23.05,1000
142,6.221,3.047,3.174,45,14.01,23.18,1000
143,6.266,3.135,3.131,45,14.11,23.31,1000
144,6.311,3.176,3.135,45,14.2,23.43,1000
145,6.356,3.212,3.144,45,14.3,23.56,1000
146,6.401,3.166,3.235,45,14.39,23.69,1000
147,6.446,3.251,3.195,45,14.49,23.81,1000
148,6.491,3.289,3.203,45,14.58,23.94,1000
149,6.536,3.37,3.166,45,14.68,24.07,1000
150,6.581,3.322,3.259,45,14.78,24.19,1000
151,6.626,3.401,3.225,45,14.87,24.32,1000
152,6.671,3.501,3.171,45,14.97,24.43,1000
153,6.716,3.472,3.244,45,15.06,24.54,1000
154,6.761,3.609,3.152,45,15.16,24.66,1000
155,6.806,3.492,3.314,45,15.25,24.77,1000
156,6.851,3.807,3.045,45,15.35,24.88,1000
157,6.896,3.677,3.219,45,15.44,24.99,1000
158,6.941,3.752,3.189,45,15.54,25.1,1000
159,6.986,3.774,3.212,45,15.63,25.22,1000
160,7.031,3.817,3.214,45,15.73,25.33,1000
161,7.076,3.861,3.215,45,15.82,25.44,1000
162,7.121,4.056,3.065,45,15.92,25.55,1000
163,7.166,4.068,3.098,45,16.01,25.66,1000
164,7.211,4.109,3.103,45,16.11,25.77,1000
165,7.256,4.065,3.191,45,16.2,25.88,1000
166,7.301,4.132,3.169,45,16.3,26.0,1000
167,7.346,4.21,3.136,45,16.39,26.11,1000
168,7.391,4.253,3.138,45,16.49,26.22,1000
169,7.436,4.311,3.125,45,16.58,26.33,1000
170,7.481,4.284,3.197,45,16.67,26.44,1000
171,7.526,4.357,3.169,45,16.77,26.55,1000
172,7.571,4.325,3.246,45,16.86,26.66,1000
173,7.616,4.35,3.266,45,16.96,26.77,1000
174,7.661,4.486,3.175,45,17.05,26.88,1000
175,7.706,4.464,3.242,45,17.14,26.99,1000
176,7.751,4.576,3.175,45,17.24,27.1,1000
177,7.796,4.58,3.216,45,17.33,27.21,1000
178,7.841,4.628,3.213,45,17.43,27.33,1000
179,7.886,4.691,3.196,45,17.52,27.44,1000
180,7.931,4.677,3.254,45,17.61,27.55,1000
181,7.976,4.825,3.151,45,17.71,27.66,1000
182,8.021,4.82,3.201,45,17.8,27.77,1000
183,8.066,4.933,3.134,45,17.89,27.88,1000
184,8.111,4.956,3.155,45,17.99,27.99,1000
185,8.156,4.926,3.23,45,18.08,28.1,1000
186,8.201,4.973,3.228,45,18.17,28.2,1000
187,8.246,5.142,3.105,45,18.27,28.31,1000
188,8.291,5.04,3.251,45,18.36,28.42,1000
189,8.336,5.257,3.079,45,18.45,28.53,1000
190,8.381,5.129,3.252,45,18.55,28.64,1000
191,8.426,5.203,3.223,45,18.64,28.75,1000
192,8.471,5.259,3.212,45,18.73,28.86,1000
193,8.516,5.325,3.191,45,18.82,28.97,1000
194,8.561,5.438,3.124,45,18.92,29.08,1000
195,8.606,5.346,3.261,45,19.01,29.19,1000
196,8.651,5.434,3.217,45,19.1,29.3,1000
197,8.696,5.489,3.207,45,19.19,29.4,1000
198,8.741,5.606,3.135,45,19.29,29.51,1000
199,8.786,5.641,3.145,45,19.38,29.62,1000
200,8.831,5.656,3.175,45,19.47,29.73,1000
201,8.876,5.736,3.14,45,19.56,29.84,1000
202,8.921,5.767,3.154,45,19.65,29.95,1000
203,8.966,5.74,3.226,45,19.75,30.06,1000
204,9.011,5.738,3.273,45,19.84,30.16,1000
205,9.056,5.811,3.245,45,19.93,30.27,1000
206,9.101,5.887,3.214,45,20.02,30.38,1000
207,9.146,5.941,3.205,45,20.11,30.49,1000
208,9.191,5.985,3.206,45,20.21,30.59,1000
209,9.236,6.117,3.119,45,20.3,30.7,1000
210,9.281,6.102,3.179,45,20.39,30.81,1000
211,9.326,6.12,3.206,45,20.48,30.92,1000
212,9.371,6.173,3.198,45,20.57,31.02,1000
213,9.416,6.317,3.1,45,20.66,31.13,1000
214,9.461,6.405,3.056,45,20.75,31.24,1000
215,9.506,6.307,3.199,45,20.84,31.35,1000
216,9.551,6.285,3.266,45,20.93,31.45,1000
217,9.596,6.368,3.229,45,21.03,31.56,1000
218,9.641,6.604,3.037,45,21.12,31.67,1000
219,9.686,6.546,3.141,45,21.21,31.77,1000
220,9.731,6.541,3.19,45,21.3,31.88,1000
221,9.776,6.598,3.178,45,21.39,31.99,1000
222,9.821,6.69,3.132,45,21.48,32.09,1000
223,9.866,6.731,3.135,45,21.57,32.2,1000
224,9.911,6.71,3.201,45,21.66,32.3,1000
225,9.956,6.814,3.142,45,21.75,32.41,1000
226,10.001,6.743,3.258,45,21.84,32.52,1000
227,10.046,6.86,3.186,45,21.93,32.62,1000
228,10.091,6.922,3.17,45,22.02,32.73,1000
229,10.136,6.957,3.179,45,22.11,32.83,1000
230,10.181,6.94,3.241,45,22.2,32.94,1000
231,10.226,7.062,3.164,45,22.29,33.04,1000
232,10.271,7.17,3.101,45,22.38,33.15,1000
233,10.316,7.092,3.224,45,22.47,33.25,1000
234,10.361,7.2,3.161,45,22.56,33.36,1000
235,10.406,7.239,3.167,45,22.64,33.46,1000
236,10.451,7.242,3.209,45,22.73,33.57,1000
237,10.496,7.347,3.15,45,22.82,33.67,1000
238,10.541,7.336,3.205,45,22.91,33.78,1000
239,10.586,7.361,3.225,45,23.0,33.88,1000
240,10.631,7.375,3.257,45,23.09,33.99,1000
241,10.676,7.536,3.14,45,23.18,34.09,1000
242,10.721,7.58,3.141,45,23.27,34.2,1000
243,10.766,7.528,3.238,45,23.35,34.3,1000
244,10.811,7.672,3.139,45,23.44,34.4,1000
245,10.856,7.637,3.219,45,23.53,34.51,1000
246,10.901,7.696,3.205,45,23.62,34.61,1000
247,10.946,7.79,3.156,45,23.71,34.71,1000
248,10.991,7.801,3.19,45,23.8,34.82,1000
249,11.036,7.839,3.197,45,23.88,34.92,1000
250,11.081,7.917,3.164,45,23.97,35.03,1000
251,11.126,7.964,3.162,45,24.06,35.13,1000
252,11.171,8.006,3.165,45,24.15,35.23,1000
253,11.216,8.023,3.193,45,24.23,35.33,1000
254,11.261,8.074,3.187,45,24.32,35.44,1000
255,11.306,8.043,3.263,45,24.41,35.54,1000
256,11.351,8.167,3.185,45,24.5,35.64,1000
257,11.396,8.16,3.237,45,24.58,35.74,1000
258,11.441,8.281,3.16,45,24.67,35.85,1000
259,11.486,8.385,3.102,45,24.76,35.95,1000
260,11.531,8.329,3.202,45,24.84,36.05,1000
261,11.576,8.363,3.213,45,24.93,36.15,1000
262,11.621,8.463,3.158,45,25.02,36.26,1000
263,11.666,8.604,3.062,45,25.1,36.36,1000
264,11.711,8.55,3.161,45,25.19,36.46,1000
265,11.756,8.606,3.15,45,25.28,36.56,1000
266,11.801,8.599,3.202,45,25.36,36.66,1000
267,11.846,8.688,3.159,45,25.45,36.76,1000
268,11.891,8.632,3.259,45,25.54,36.86,1000
269,11.936,8.792,3.144,45,25.62,36.97,1000
270,11.981,8.826,3.155,45,25.71,37.07,1000
271,12.026,8.714,3.312,45,25.79,37.17,1000
272,12.071,8.851,3.22,45,25.88,37.27,1000
273,12.116,8.933,3.184,45,25.96,37.37,1000
274,12.161,8.966,3.195,45,26.05,37.47,1000
275,12.206,8.91,3.296,45,26.13,37.57,1000
276,12.251,9.034,3.217,45,26.22,37.67,1000
277,12.296,9.198,3.098,45,26.3,37.77,1000
278,12.341,9.147,3.195,45,26.39,37.87,1000
279,12.386,9.208,3.178,45,26.47,37.97,1000
280,12.431,9.21,3.221,45,26.56,38.07,1000
281,12.476,9.225,3.251,45,26.64,38.17,1000
282,12.521,9.361,3.16,45,26.73,38.27,1000
283,12.566,9.422,3.144,45,26.81,38.37,1000
284,12.611,9.46,3.151,45,26.9,38.47,1000
285,12.656,9.363,3.293,45,26.98,38.57,1000
286,12.701,9.429,3.272,45,27.07,38.67,1000
287,12.746,9.578,3.169,45,27.15,38.76,1000
288,12.791,9.593,3.199,45,27.23,38.86,1000
289,12.836,9.774,3.062,45,27.32,38.96,1000
290,12.881,9.736,3.145,45,27.4,39.06,1000
291,12.926,9.697,3.229,45,27.48,39.16,1000
292,12.971,9.796,3.175,45,27.57,39.26,1000
293,13.016,9.887,3.129,45,27.65,39.35,1000
294,13.061,9.94,3.121,45,27.73,39.45,1000
295,13.106,9.86,3.246,45,27.82,39.55,1000
296,13.151,9.986,3.165,45,27.9,39.65,1000
297,13.196,9.983,3.213,45,27.98,39.75,1000
298,13.241,10.07,3.171,45,28.07,39.84,1000
299,13.286,10.094,3.192,45,28.15,39.94,1000
300,13.331,10.057,3.274,45,28.23,40.04,1000
301,13.376,10.184,3.192,45,28.31,40.13,1000
302,13.421,10.167,3.254,45,28.4,40.23,1000
303,13.466,10.236,3.23,45,28.48,40.33,1000
304,13.511,10.355,3.156,45,28.56,40.43,1000
305,13.556,10.416,3.14,45,28.64,40.52,1000
306,13.601,10.387,3.214,45,28.73,40.62,1000
307,13.646,10.49,3.156,45,28.81,40.71,1000
308,13.691,10.559,3.132,45,28.89,40.81,1000
309,13.736,10.496,3.24,45,28.97,40.91,1000
310,13.781,10.568,3.213,45,29.05,41.0,1000
311,13.826,10.672,3.154,45,29.13,41.1,1000
312,13.871,10.763,3.108,45,29.21,41.19,1000
313,13.916,10.795,3.121,45,29.3,41.29,1000
314,13.961,10.875,3.086,45,29.38,41.38,1000
315,14.006,10.844,3.162,45,29.46,41.48,1000
316,14.051,10.806,3.245,45,29.54,41.57,1000
317,14.096,10.998,3.098,45,29.62,41.67,1000
318,14.141,11.022,3.119,45,29.7,41.76,1000
319,14.186,11.005,3.181,45,29.78,41.86,1000
320,14.231,11.074,3.157,45,29.86,41.95,1000
321,14.276,11.035,3.241,45,29.94,42.05,1000
322,14.321,11.276,3.045,45,30.02,42.14,1000
323,14.366,11.306,3.06,45,30.1,42.24,1000
324,14.411,11.251,3.16,45,30.18,42.33,1000
325,14.456,11.231,3.225,45,30.26,42.42,1000
326,14.501,11.168,3.333,45,30.34,42.52,1000
327,14.546,11.3,3.246,45,30.42,42.61,1000
328,14.591,11.481,3.11,45,30.5,42.7,1000
329,14.636,11.409,3.227,45,30.58,42.8,1000
330,14.681,11.359,3.322,45,30.66,42.89,1000
331,14.726,11.495,3.232,45,30.73,42.98,1000
332,14.771,11.684,3.087,45,30.81,43.07,1000
333,14.816,11.581,3.235,45,30.89,43.17,1000
334,14.861,11.685,3.176,45,30.97,43.26,1000
335,14.906,11.703,3.203,45,31.05,43.35,1000
336,14.951,11.838,3.113,45,31.13,43.44,1000
337,14.996,11.716,3.281,45,31.21,43.54,1000
338,15.041,11.82,3.221,45,31.28,43.63,1000
339,15.086,11.914,3.173,45,31.36,43.72,1000
340,15.131,11.962,3.169,45,31.44,43.81,1000
341,15.176,11.901,3.275,45,31.52,43.9,1000
342,15.221,12.056,3.166,45,31.59,43.99,1000
