timestamp_ms,target_pos,actual_pos,error,velocity_cmd,hz
0,0.0,0.08,-0.08,45,500
2,0.002,-0.025,0.027,45,500
4,0.008,-0.02,0.028,45,500
6,0.018,0.067,-0.049,45,500
8,0.032,0.032,-0.0,45,500
10,0.05,0.012,0.038,45,500
12,0.072,0.078,-0.006,45,500
14,0.098,0.12,-0.022,45,500
16,0.128,0.229,-0.101,45,500
18,0.162,0.079,0.083,45,500
20,0.2,0.341,-0.141,45,500
22,0.242,0.217,0.025,45,500
24,0.288,0.256,0.032,45,500
26,0.338,0.369,-0.031,45,500
28,0.392,0.26,0.132,45,500
30,0.45,0.412,0.038,45,500
32,0.512,0.451,0.061,45,500
34,0.578,0.628,-0.05,45,500
36,0.648,0.561,0.087,45,500
38,0.722,0.732,-0.01,45,500
40,0.8,0.804,-0.004,45,500
42,0.882,0.839,0.043,45,500
44,0.968,0.944,0.024,45,500
46,1.058,1.123,-0.066,45,500
48,1.148,1.055,0.092,45,500
50,1.238,1.338,-0.1,45,500
52,1.328,1.28,0.047,45,500
54,1.418,1.431,-0.014,45,500
56,1.508,1.473,0.035,45,500
58,1.598,1.62,-0.022,45,500
60,1.688,1.694,-0.007,45,500
62,1.777,1.795,-0.018,45,500
64,1.868,1.935,-0.068,45,500
66,1.958,2.0,-0.042,45,500
68,2.048,2.078,-0.031,45,500
70,2.138,2.093,0.045,45,500
72,2.228,2.217,0.01,45,500
74,2.318,2.308,0.009,45,500
76,2.407,2.463,-0.055,45,500
78,2.498,2.473,0.024,45,500
80,2.588,2.604,-0.016,45,500
82,2.678,2.578,0.1,45,500
84,2.768,2.756,0.011,45,500
86,2.858,3.015,-0.157,45,500
88,2.948,2.953,-0.005,45,500
90,3.037,3.123,-0.086,45,500
92,3.128,3.044,0.083,45,500
94,3.218,3.197,0.021,45,500
96,3.308,3.336,-0.028,45,500
98,3.398,3.492,-0.095,45,500
100,3.488,3.532,-0.045,45,500
102,3.578,3.626,-0.048,45,500
104,3.668,3.737,-0.07,45,500
106,3.758,3.689,0.068,45,500
108,3.848,3.805,0.043,45,500
110,3.938,3.979,-0.042,45,500
112,4.028,4.103,-0.076,45,500
114,4.118,4.12,-0.002,45,500
116,4.208,4.31,-0.102,45,500
118,4.298,4.229,0.069,45,500
120,4.388,4.476,-0.089,45,500
122,4.478,4.519,-0.041,45,500
124,4.568,4.533,0.034,45,500
126,4.658,4.58,0.077,45,500
128,4.748,4.809,-0.062,45,500
130,4.838,4.886,-0.048,45,500
132,4.928,4.972,-0.044,45,500
134,5.018,5.023,-0.005,45,500
136,5.108,5.11,-0.002,45,500
138,5.198,5.245,-0.047,45,500
140,5.288,5.28,0.007,45,500
142,5.378,5.285,0.092,45,500
144,5.468,5.509,-0.041,45,500
146,5.558,5.443,0.115,45,500
148,5.648,5.65,-0.003,45,500
150,5.738,5.638,0.1,45,500
152,5.828,5.871,-0.044,45,500
154,5.918,5.908,0.01,45,500
156,6.008,6.035,-0.028,45,500
158,6.098,6.035,0.062,45,500
160,6.188,6.1,0.087,45,500
162,6.278,6.222,0.055,45,500
164,6.368,6.427,-0.059,45,500
166,6.458,6.529,-0.071,45,500
168,6.548,6.5,0.048,45,500
170,6.638,6.61,0.028,45,500
172,6.728,6.568,0.16,45,500
174,6.818,6.753,0.065,45,500
176,6.908,7.041,-0.133,45,500
178,6.998,7.066,-0.068,45,500
180,7.088,7.115,-0.027,45,500
182,7.178,7.109,0.069,45,500
184,7.268,7.225,0.042,45,500
186,7.358,7.392,-0.034,45,500
188,7.448,7.375,0.072,45,500
190,7.538,7.502,0.035,45,500
192,7.628,7.679,-0.051,45,500
194,7.718,7.717,0.0,45,500
196,7.808,7.839,-0.031,45,500
198,7.898,7.908,-0.01,45,500
200,7.988,7.977,0.01,45,500
202,8.078,8.105,-0.028,45,500
204,8.168,8.269,-0.102,45,500
206,8.258,8.261,-0.004,45,500
208,8.348,8.39,-0.042,45,500
210,8.437,8.484,-0.046,45,500
212,8.527,8.454,0.074,45,500
214,8.618,8.622,-0.004,45,500
216,8.708,8.816,-0.108,45,500
218,8.798,8.781,0.016,45,500
220,8.888,8.881,0.006,45,500
222,8.978,8.93,0.047,45,500
224,9.067,9.027,0.041,45,500
226,9.157,9.199,-0.041,45,500
228,9.247,9.222,0.025,45,500
230,9.337,9.352,-0.015,45,500
232,9.427,9.402,0.026,45,500
234,9.518,9.524,-0.007,45,500
236,9.608,9.555,0.053,45,500
238,9.698,9.67,0.027,45,500
240,9.788,9.709,0.079,45,500
242,9.878,9.889,-0.011,45,500
