timestamp_ms,target_x,target_y,target_z,real_x,real_y,real_z,error,base_deg,shoulder_deg,elbow_deg,stretch_shoulder,stretch_elbow,torque_shoulder,torque_elbow,torque_base,limit_shoulder,limit_elbow,limit_base,inertia_torque
0,20.0,0.0,19.966,20.006,-0.017,19.912,0.0568,-0.04,84.95,-109.14,0.538,0.4888,7.51,6.82,0.69,50.4,50.4,12.6,-0.21
1,20.0,0.0,19.966,20.006,-0.02,19.912,0.0579,-0.07,84.95,-109.14,0.5384,0.4894,7.52,6.83,0.8,50.4,50.4,12.6,-0.21
2,20.0,0.0,19.966,20.006,-0.037,19.911,0.0664,-0.11,84.95,-109.14,0.5392,0.4906,7.53,6.85,1.49,50.4,50.4,12.6,-0.42
3,20.0,0.0,19.965,20.006,-0.037,19.91,0.0668,-0.11,84.95,-109.14,0.54,0.4917,7.54,6.87,1.5,50.4,50.4,12.6,-0.42
4,20.0,0.0,19.965,20.006,-0.037,19.91,0.0671,-0.11,84.95,-109.14,0.5408,0.4928,7.55,6.88,1.5,50.4,50.4,12.6,-0.42
5,20.0,0.0,19.965,20.006,-0.037,19.91,0.0674,-0.11,84.95,-109.14,0.5415,0.4939,7.56,6.9,1.51,50.4,50.4,12.6,-0.42
6,20.0,0.001,19.965,20.006,-0.037,19.909,0.0676,-0.11,84.95,-109.14,0.5423,0.495,7.57,6.91,1.51,50.4,50.4,12.6,-0.42
7,20.0,0.001,19.965,20.006,-0.037,19.909,0.0678,-0.11,84.95,-109.14,0.5431,0.4962,7.58,6.93,1.52,50.4,50.4,12.6,-0.42
8,20.0,0.001,19.964,20.006,-0.037,19.909,0.0679,-0.11,84.95,-109.14,0.5439,0.4973,7.59,6.94,1.52,50.4,50.4,12.6,-0.42
9,20.0,0.001,19.964,20.006,-0.037,19.908,0.0679,-0.11,84.95,-109.14,0.5446,0.4984,7.6,6.96,1.53,50.4,50.4,12.6,-0.42
10,20.0,0.002,19.964,20.006,-0.037,19.908,0.0678,-0.11,84.95,-109.14,0.5454,0.4995,7.62,6.97,1.53,50.4,50.4,12.6,-0.42
11,20.0,0.002,19.963,20.006,-0.037,19.908,0.0677,-0.11,84.95,-109.14,0.5462,0.5006,7.63,6.99,1.54,50.4,50.4,12.6,-0.42
12,20.0,0.002,19.963,20.006,-0.036,19.908,0.0675,-0.11,84.95,-109.14,0.547,0.5017,7.64,7.01,1.54,50.4,50.4,12.6,-0.43
13,20.0,0.003,19.962,20.006,-0.036,19.908,0.0673,-0.11,84.95,-109.14,0.5478,0.5028,7.65,7.02,1.55,50.4,50.4,12.6,-0.43
14,20.0,0.003,19.962,20.006,-0.036,19.908,0.067,-0.11,84.95,-109.14,0.5485,0.5039,7.66,7.04,1.55,50.4,50.4,12.6,-0.43
15,20.0,0.003,19.961,20.006,-0.035,19.907,0.0666,-0.11,84.95,-109.14,0.5493,0.5051,7.67,7.05,1.56,50.4,50.4,12.6,-0.43
16,20.0,0.004,19.961,20.006,-0.035,19.908,0.0662,-0.11,84.95,-109.14,0.5501,0.5062,7.68,7.07,1.56,50.4,50.4,12.6,-0.43
17,20.0,0.004,19.96,20.006,-0.035,19.908,0.0657,-0.11,84.95,-109.14,0.5509,0.5073,7.69,7.08,1.57,50.4,50.4,12.6,-0.43
18,20.0,0.005,19.959,20.006,-0.034,19.908,0.0652,-0.09,84.95,-109.14,0.5516,0.5084,7.7,7.1,1.57,50.4,50.4,12.6,-0.43
19,20.0,0.006,19.959,20.006,-0.034,19.908,0.0646,-0.09,84.95,-109.14,0.5524,0.5095,7.71,7.11,1.58,50.4,50.4,12.6,-0.43
20,20.0,0.006,19.958,20.006,-0.033,19.908,0.0639,-0.09,84.95,-109.14,0.5532,0.5106,7.72,7.13,1.58,50.4,50.4,12.6,-0.43
21,20.0,0.007,19.957,20.006,-0.033,19.908,0.0632,-0.09,84.95,-109.14,0.554,0.5117,7.73,7.14,1.59,50.4,50.4,12.6,-0.43
22,20.0,0.007,19.956,20.006,-0.032,19.908,0.0625,-0.09,84.95,-109.14,0.5548,0.5128,7.75,7.16,1.59,50.4,50.4,12.6,-0.43
23,20.0,0.008,19.955,20.006,-0.032,19.909,0.0617,-0.09,84.95,-109.14,0.5555,0.5139,7.76,7.18,1.6,50.4,50.4,12.6,-0.43
24,20.0,0.009,19.954,20.006,-0.031,19.909,0.0608,-0.09,84.95,-109.14,0.5563,0.515,7.77,7.19,1.6,50.4,50.4,12.6,-0.43
25,20.0,0.01,19.954,20.006,-0.031,19.909,0.0599,-0.09,84.95,-109.14,0.5571,0.5161,7.78,7.21,1.61,50.4,50.4,12.6,-0.43
26,20.0,0.01,19.953,20.006,-0.03,19.911,0.0585,-0.09,84.95,-109.14,0.5579,0.5151,7.79,7.19,1.61,50.4,50.4,12.6,-0.43
27,20.0,0.011,19.952,20.007,-0.029,19.913,0.0563,-0.09,84.95,-109.14,0.5587,0.5096,7.8,7.12,1.62,50.4,50.4,12.6,-0.43
28,20.0,0.012,19.95,20.006,-0.028,19.917,0.0528,-0.09,84.95,-109.14,0.5529,0.5048,7.72,7.05,1.62,50.4,50.4,12.6,-0.43
29,20.0,0.013,19.949,20.006,-0.028,19.921,0.05,-0.09,84.95,-109.12,0.5481,0.5,7.65,6.98,1.63,50.4,50.4,12.6,-0.43
30,20.0,0.014,19.948,20.006,-0.027,19.924,0.0476,-0.09,84.97,-109.12,0.5434,0.4952,7.59,6.91,1.63,50.4,50.4,12.6,-0.43
31,20.0,0.015,19.947,20.006,-0.026,19.928,0.0456,-0.07,84.97,-109.12,0.5386,0.4905,7.52,6.85,1.64,50.4,50.4,12.6,-0.43
32,20.0,0.016,19.946,20.001,-0.025,19.973,0.0494,-0.07,85.03,-109.05,0.4702,0.422,6.56,5.89,1.64,50.4,50.4,12.6,-0.43
33,20.0,0.017,19.945,20.001,-0.024,19.976,0.052,-0.07,85.03,-109.03,0.4654,0.4172,6.5,5.83,1.65,50.4,50.4,12.6,-0.43
34,20.0,0.018,19.943,20.001,-0.023,19.979,0.0546,-0.07,85.03,-109.03,0.4606,0.4124,6.43,5.76,1.65,50.4,50.4,12.6,-0.43
35,20.0,0.019,19.942,20.001,-0.022,19.982,0.0573,-0.07,85.03,-109.03,0.4558,0.4076,6.36,5.69,1.66,50.4,50.4,12.6,-0.43
36,20.0,0.02,19.941,20.0,-0.022,19.984,0.06,-0.07,85.06,-109.03,0.4511,0.4029,6.3,5.62,1.66,50.4,50.4,12.6,-0.43
37,20.0,0.021,19.939,20.0,-0.021,19.986,0.0627,-0.07,85.06,-109.03,0.4463,0.3981,6.23,5.56,1.67,50.4,50.4,12.6,-0.43
38,20.0,0.022,19.938,20.0,-0.019,19.987,0.0647,-0.07,85.06,-109.03,0.4439,0.3933,6.2,5.49,1.67,50.4,50.4,12.6,-0.43
39,20.0,0.023,19.936,20.001,-0.018,19.987,0.0662,-0.04,85.06,-109.03,0.4434,0.3885,6.19,5.42,1.68,50.4,50.4,12.6,-0.43
40,20.0,0.025,19.935,20.002,-0.017,19.988,0.0678,-0.04,85.06,-109.01,0.4426,0.3837,6.18,5.36,1.68,50.4,50.4,12.6,-0.43
41,20.0,0.026,19.933,20.002,-0.016,19.988,0.0693,-0.04,85.06,-109.01,0.4419,0.3789,6.17,5.29,1.68,50.4,50.4,12.6,-0.43
42,20.0,0.027,19.931,20.002,-0.015,19.987,0.0701,-0.04,85.06,-109.01,0.4411,0.3769,6.16,5.26,1.69,50.4,50.4,12.6,-0.43
43,20.0,0.029,19.93,20.002,-0.014,19.986,0.0706,-0.04,85.03,-109.03,0.4403,0.376,6.15,5.25,1.69,50.4,50.4,12.6,-0.43
44,20.0,0.03,19.928,20.002,-0.013,19.985,0.0712,-0.04,85.03,-109.03,0.4395,0.3749,6.14,5.23,1.7,50.4,50.4,12.6,-0.43
45,20.0,0.031,19.926,20.002,-0.011,19.984,0.0717,-0.02,85.03,-109.03,0.4387,0.3737,6.13,5.22,1.7,50.4,50.4,12.6,-0.43
46,20.0,0.033,19.925,20.002,-0.01,19.983,0.0723,-0.02,85.03,-109.03,0.4379,0.3726,6.11,5.2,1.71,50.4,50.4,12.6,-0.43
47,20.0,0.034,19.923,20.002,-0.009,19.982,0.0729,-0.02,85.03,-109.03,0.4371,0.3715,6.1,5.19,1.71,50.4,50.4,12.6,-0.44
48,20.0,0.036,19.921,20.002,-0.007,19.981,0.0734,-0.02,85.03,-109.03,0.4363,0.3704,6.09,5.17,1.72,50.4,50.4,12.6,-0.44
49,20.0,0.037,19.919,20.002,-0.006,19.979,0.074,-0.02,85.03,-109.03,0.4355,0.3693,6.08,5.16,1.72,50.4,50.4,12.6,-0.44
50,20.0,0.039,19.917,20.002,-0.005,19.978,0.0746,-0.02,85.03,-109.03,0.4347,0.3681,6.07,5.14,1.73,50.4,50.4,12.6,-0.44
51,20.0,0.04,19.915,20.002,-0.003,19.977,0.0751,0.0,85.03,-109.03,0.4339,0.367,6.06,5.12,1.73,50.4,50.4,12.6,-0.44
52,20.0,0.042,19.913,20.002,-0.002,19.975,0.0757,0.0,85.03,-109.03,0.4332,0.3659,6.05,5.11,1.74,50.4,50.4,12.6,-0.44
53,20.0,0.043,19.911,20.002,-0.0,19.974,0.0763,0.0,85.03,-109.05,0.4324,0.3648,6.04,5.09,1.74,50.4,50.4,12.6,-0.44
54,20.0,0.045,19.909,20.002,0.001,19.972,0.0769,0.0,85.03,-109.05,0.4316,0.3637,6.03,5.08,1.75,50.4,50.4,12.6,-0.44
55,20.0,0.047,19.907,20.002,0.003,19.971,0.0774,0.0,85.03,-109.05,0.4308,0.3625,6.01,5.06,1.75,50.4,50.4,12.6,-0.44
56,20.0,0.048,19.905,20.002,0.004,19.969,0.078,0.02,85.01,-109.05,0.43,0.3614,6.0,5.05,1.76,50.4,50.4,12.6,-0.44
57,20.0,0.05,19.903,20.002,0.006,19.968,0.0786,0.02,85.01,-109.05,0.4292,0.3603,5.99,5.03,1.76,50.4,50.4,12.6,-0.44
58,20.0,0.052,19.901,20.002,0.008,19.966,0.0792,0.02,85.01,-109.05,0.4284,0.3592,5.98,5.02,1.77,50.4,50.4,12.6,-0.44
59,20.0,0.054,19.898,20.002,0.009,19.964,0.0797,0.02,85.01,-109.05,0.4276,0.3581,5.97,5.0,1.77,50.4,50.4,12.6,-0.44
60,20.0,0.056,19.896,20.002,0.011,19.963,0.0803,0.02,85.01,-109.05,0.4268,0.357,5.96,4.98,1.78,50.4,50.4,12.6,-0.44
61,20.0,0.057,19.894,20.002,0.013,19.961,0.0809,0.04,85.01,-109.07,0.426,0.3559,5.95,4.97,1.78,50.4,50.4,12.6,-0.44
62,20.0,0.059,19.891,20.002,0.015,19.959,0.0815,0.04,85.01,-109.07,0.4251,0.3547,5.94,4.95,1.79,50.4,50.4,12.6,-0.44
63,20.0,0.061,19.889,20.002,0.016,19.957,0.0821,0.04,85.01,-109.07,0.4243,0.3536,5.92,4.94,1.79,50.4,50.4,12.6,-0.44
64,20.0,0.063,19.886,20.002,0.018,19.956,0.0826,0.04,85.01,-109.07,0.4235,0.3525,5.91,4.92,1.8,50.4,50.4,12.6,-0.44
65,20.0,0.065,19.884,20.003,0.02,19.954,0.0832,0.07,85.01,-109.07,0.4227,0.3514,5.9,4.91,1.8,50.4,50.4,12.6,-0.45
66,20.0,0.067,19.881,20.003,0.022,19.952,0.0838,0.07,84.99,-109.07,0.4219,0.3503,5.89,4.89,1.81,50.4,50.4,12.6,-0.45
67,20.0,0.069,19.879,20.003,0.024,19.95,0.0844,0.07,84.99,-109.09,0.4211,0.3492,5.88,4.88,1.81,50.4,50.4,12.6,-0.45
68,20.0,0.071,19.876,20.003,0.026,19.948,0.085,0.07,84.99,-109.09,0.4203,0.3481,5.87,4.86,1.82,50.4,50.4,12.6,-0.45
69,20.0,0.073,19.873,20.003,0.028,19.946,0.0856,0.09,84.99,-109.09,0.4195,0.347,5.86,4.84,1.82,50.4,50.4,12.6,-0.45
70,20.0,0.076,19.871,20.003,0.03,19.944,0.0861,0.09,84.99,-109.09,0.4187,0.3459,5.85,4.83,1.83,50.4,50.4,12.6,-0.45
71,20.0,0.078,19.868,20.003,0.032,19.942,0.0867,0.09,84.99,-109.09,0.4179,0.3447,5.83,4.81,1.83,50.4,50.4,12.6,-0.45
72,20.0,0.08,19.865,20.003,0.034,19.94,0.0873,0.09,84.99,-109.09,0.417,0.3436,5.82,4.8,1.84,50.4,50.4,12.6,-0.45
