timestamp_ms,target_pos,actual_pos,error,velocity_cmd,hz
0,0.0,-0.052,0.052,60,500
2,0.002,0.015,-0.013,60,500
4,0.008,-0.01,0.018,60,500
6,0.018,-0.027,0.045,60,500
8,0.032,0.067,-0.035,60,500
10,0.05,0.053,-0.003,60,500
12,0.072,0.079,-0.007,60,500
14,0.098,0.1,-0.002,60,500
16,0.128,0.148,-0.02,60,500
18,0.162,0.162,0.0,60,500
20,0.2,0.168,0.032,60,500
22,0.242,0.208,0.034,60,500
24,0.288,0.254,0.034,60,500
26,0.338,0.326,0.012,60,500
28,0.392,0.397,-0.005,60,500
30,0.45,0.384,0.066,60,500
32,0.512,0.589,-0.077,60,500
34,0.578,0.597,-0.019,60,500
36,0.648,0.59,0.058,60,500
38,0.722,0.741,-0.019,60,500
40,0.8,0.723,0.077,60,500
42,0.882,0.887,-0.005,60,500
44,0.968,0.976,-0.008,60,500
46,1.058,1.045,0.013,60,500
48,1.152,1.21,-0.058,60,500
50,1.25,1.183,0.067,60,500
52,1.352,1.289,0.063,60,500
54,1.458,1.553,-0.095,60,500
56,1.568,1.577,-0.009,60,500
58,1.682,1.637,0.045,60,500
60,1.8,1.795,0.005,60,500
62,1.92,1.972,-0.052,60,500
64,2.04,1.993,0.047,60,500
66,2.16,2.179,-0.019,60,500
68,2.28,2.329,-0.049,60,500
70,2.4,2.315,0.085,60,500
72,2.52,2.553,-0.033,60,500
74,2.64,2.651,-0.011,60,500
76,2.76,2.7,0.06,60,500
78,2.88,2.907,-0.027,60,500
80,3.0,3.02,-0.02,60,500
82,3.12,3.04,0.08,60,500
84,3.24,3.25,-0.01,60,500
86,3.36,3.35,0.01,60,500
88,3.48,3.535,-0.055,60,500
90,3.6,3.614,-0.014,60,500
92,3.72,3.678,0.042,60,500
94,3.84,3.913,-0.073,60,500
96,3.96,3.91,0.05,60,500
98,4.08,4.106,-0.026,60,500
100,4.2,4.154,0.046,60,500
102,4.32,4.352,-0.032,60,500
104,4.44,4.486,-0.046,60,500
106,4.56,4.534,0.026,60,500
108,4.68,4.645,0.035,60,500
110,4.8,4.803,-0.003,60,500
112,4.92,4.897,0.023,60,500
114,5.04,4.943,0.097,60,500
116,5.16,5.097,0.063,60,500
118,5.28,5.334,-0.054,60,500
120,5.4,5.394,0.006,60,500
122,5.52,5.474,0.046,60,500
124,5.64,5.608,0.032,60,500
126,5.76,5.882,-0.122,60,500
128,5.88,5.825,0.055,60,500
130,6.0,5.929,0.071,60,500
132,6.12,6.146,-0.026,60,500
134,6.24,6.267,-0.027,60,500
136,6.36,6.364,-0.004,60,500
138,6.48,6.51,-0.03,60,500
140,6.6,6.584,0.016,60,500
142,6.72,6.568,0.152,60,500
144,6.84,6.761,0.079,60,500
146,6.96,6.976,-0.016,60,500
148,7.08,7.102,-0.022,60,500
150,7.2,7.165,0.035,60,500
152,7.32,7.247,0.073,60,500
154,7.44,7.378,0.062,60,500
156,7.56,7.574,-0.014,60,500
158,7.68,7.645,0.035,60,500
160,7.8,7.854,-0.054,60,500
162,7.92,7.833,0.087,60,500
164,8.04,7.985,0.055,60,500
166,8.16,8.131,0.029,60,500
168,8.28,8.316,-0.036,60,500
170,8.4,8.372,0.028,60,500
172,8.52,8.441,0.079,60,500
174,8.64,8.627,0.013,60,500
176,8.76,8.716,0.044,60,500
178,8.88,8.923,-0.043,60,500
180,9.0,8.923,0.077,60,500
182,9.12,9.215,-0.095,60,500
184,9.24,9.244,-0.004,60,500
186,9.36,9.349,0.011,60,500
188,9.48,9.59,-0.11,60,500
190,9.6,9.502,0.098,60,500
192,9.72,9.691,0.029,60,500
194,9.84,9.852,-0.012,60,500
196,9.96,9.976,-0.016,60,500
198,10.08,9.977,0.103,60,500
200,10.2,10.157,0.043,60,500
202,10.32,10.201,0.119,60,500
204,10.44,10.474,-0.034,60,500
206,10.56,10.571,-0.011,60,500
208,10.68,10.617,0.063,60,500
210,10.8,10.92,-0.12,60,500
212,10.92,10.86,0.06,60,500
214,11.04,11.203,-0.163,60,500
216,11.16,11.256,-0.096,60,500
218,11.28,11.248,0.032,60,500
220,11.4,11.425,-0.025,60,500
222,11.52,11.477,0.043,60,500
224,11.64,11.601,0.039,60,500
